iter	Logloss
0	0.6864097516
1	0.6807571744
2	0.6755536145
3	0.6706368901
4	0.6657412452
5	0.6617509717
6	0.6582209663
7	0.6549704817
8	0.6517922924
9	0.6487711083
10	0.6462647118
11	0.643936412
12	0.6417878815
13	0.6396906337
14	0.6378631777
15	0.63617384
16	0.6346451933
17	0.6333042511
18	0.6319506232
19	0.6307075825
20	0.6291761905
21	0.6279110684
22	0.6265807239
23	0.6258305637
24	0.6249757801
25	0.6242086146
26	0.6231667307
27	0.6224163301
28	0.6216500039
29	0.6207219084
30	0.6201206934
31	0.6193953985
32	0.6188677705
33	0.6181418402
34	0.6175795036
35	0.6171232783
36	0.6167173359
37	0.6163460113
38	0.6156892391
39	0.6151708472
40	0.6146239387
41	0.6142702192
42	0.6140364574
43	0.6136965677
44	0.6133670264
45	0.6130866419
46	0.6126739902
47	0.6123880275
48	0.6118922325
49	0.6116168567
50	0.6112965425
51	0.6108705209
52	0.6106508832
53	0.6104572071
54	0.6102130465
55	0.6100333388
56	0.6094951758
57	0.6093177296
58	0.6091612876
59	0.6085896065
60	0.6084214269
61	0.60816074
62	0.6078093581
63	0.6076535381
64	0.6075017234
65	0.6073771634
66	0.6072510972
67	0.607146052
68	0.6068064895
69	0.606671948
70	0.6061810274
71	0.6060659964
72	0.6059263674
73	0.6058264632
74	0.6056528691
75	0.6055528388
76	0.6053828811
77	0.6052597075
78	0.6051783796
79	0.6050814302
80	0.604784297
81	0.6046509464
82	0.6040876004
83	0.6039647571
84	0.6036165806
85	0.6035464224
86	0.603411152
87	0.6032756603
88	0.6031878223
89	0.6030825241
90	0.6029913126
91	0.6028903348
92	0.602727453
93	0.6024022909
94	0.6023096359
95	0.6022258256
96	0.6021335099
97	0.6020323634
98	0.6016779626
99	0.6016060488
100	0.6014868675
101	0.6014062091
102	0.6013129123
103	0.6012455602
104	0.6011261616
105	0.6009860411
106	0.60073242
107	0.6006306186
108	0.6005353141
109	0.6004278219
110	0.6002949022
111	0.6002321112
112	0.6001349482
113	0.5999368319
114	0.5998663557
115	0.5997995974
116	0.5994055238
117	0.5993096218
118	0.5992091264
119	0.5991184915
120	0.598799632
121	0.5986298767
122	0.598519718
123	0.5984200059
124	0.5983138752
125	0.5982105961
126	0.5981638702
127	0.597837406
128	0.5977801508
129	0.5976183234
130	0.5973464263
131	0.5972588107
132	0.5971680968
133	0.5971248753
134	0.5970650789
135	0.5969448122
136	0.5968450567
137	0.5966525685
138	0.5965382385
139	0.5964424338
140	0.5963616658
141	0.5962746583
142	0.5961663562
143	0.5961037089
144	0.5960317462
145	0.595967233
146	0.5956644354
147	0.5955470057
148	0.5951601968
149	0.5950416066
150	0.5949860237
151	0.5948893129
152	0.5948248825
153	0.5947475725
154	0.5945082186
155	0.5944006653
156	0.5943238745
157	0.5942594371
158	0.5941575332
159	0.5940513413
160	0.5939731315
161	0.593892872
162	0.5938327992
163	0.593761796
164	0.5937115754
165	0.5936280244
166	0.5935713071
167	0.5934587581
168	0.5933889828
169	0.5933109714
170	0.5932503206
171	0.5931725448
172	0.5930619065
173	0.5929126902
174	0.5927944189
175	0.5926919105
176	0.5925854105
177	0.5925066658
178	0.5924473392
179	0.5923824025
180	0.5923373326
181	0.5922513606
182	0.592168516
183	0.5920715429
184	0.5919989981
185	0.5918537746
186	0.5917818461
187	0.5916865225
188	0.591611718
189	0.5915269421
190	0.5914007493
191	0.591331572
192	0.591267963
193	0.5912343801
194	0.591145755
195	0.5909908453
196	0.5908648882
197	0.5907163518
198	0.5906605455
199	0.5905802353
200	0.5902400686
201	0.5901150862
202	0.5900347933
203	0.5899065493
204	0.5898030847
205	0.58971026
206	0.589434491
207	0.5891532126
208	0.5890574277
209	0.5889535599
210	0.588894772
211	0.5887957533
212	0.5887246435
213	0.5886508985
214	0.5885625657
215	0.5884148219
216	0.5883324066
217	0.5882459671
218	0.5880890879
219	0.5880103474
220	0.5879508733
221	0.5878657511
222	0.5877559315
223	0.587638866
224	0.587589557
225	0.5874461433
226	0.5871211242
227	0.5870278057
228	0.5869271717
229	0.5868635206
230	0.5867216674
231	0.5866064233
232	0.5865098251
233	0.5864776523
234	0.5863178496
235	0.5862491225
236	0.5861050912
237	0.5859513365
238	0.5858278928
239	0.5857472468
240	0.5856311849
241	0.5855624003
242	0.5855212753
243	0.5854304539
244	0.5853442916
245	0.5852736271
246	0.5851545533
247	0.584860173
248	0.584576589
249	0.5844534834
250	0.5843586894
251	0.5842288323
252	0.5841598848
253	0.5840857889
254	0.5840135932
255	0.5838802985
256	0.5838024729
257	0.5836970051
258	0.583633413
259	0.5835763258
260	0.5834990102
261	0.5834356745
262	0.5833520476
263	0.5832097028
264	0.5830547946
265	0.5828946084
266	0.5826382743
267	0.5825884319
268	0.5824825326
269	0.582344621
270	0.5822302682
271	0.5821402569
272	0.58198539
273	0.5819151052
274	0.5818058469
275	0.5816860379
276	0.5815842242
277	0.5814382094
278	0.5813586914
279	0.5811995485
280	0.5811823826
281	0.5810372822
282	0.5809652741
283	0.5808210875
284	0.5807384512
285	0.5806502993
286	0.5805052455
287	0.580419844
288	0.5803489508
289	0.5802479772
290	0.5801725319
291	0.5800176295
292	0.5798944006
293	0.5798050596
294	0.5796968105
295	0.5796017477
296	0.579528709
297	0.579290367
298	0.5792316829
299	0.5791387867
300	0.5790618384
301	0.5789519908
302	0.5788653708
303	0.5787976748
304	0.578723203
305	0.578544293
306	0.5784534455
307	0.5783219148
308	0.578197216
309	0.5780857291
310	0.5779898208
311	0.5779454262
312	0.5778214103
313	0.5776939315
314	0.577541028
315	0.5774045143
316	0.5773048288
317	0.5771979958
318	0.5770826007
319	0.5769761387
320	0.576859496
321	0.5767136072
322	0.5766006649
323	0.5764972566
324	0.5764105211
325	0.5762869582
326	0.5762710272
327	0.5761104723
328	0.5759178246
329	0.5758453941
330	0.5757720103
331	0.5756276331
332	0.575534022
333	0.5753985982
334	0.5751723697
335	0.5750190708
336	0.5749314788
337	0.5748495056
338	0.5747595095
339	0.5746715198
340	0.5745671431
341	0.5744516632
342	0.5743742639
343	0.5742822475
344	0.5741244413
345	0.5740533093
346	0.5739458387
347	0.573882151
348	0.5737996537
349	0.5737040334
350	0.5735771936
351	0.573482648
352	0.5734055439
353	0.5732504954
354	0.5731635653
355	0.5730488374
356	0.5729027089
357	0.5727913388
358	0.5726426537
359	0.5725359837
360	0.57240655
361	0.5723277463
362	0.5722557214
363	0.5721580888
364	0.5720404202
365	0.5719317334
366	0.5718536935
367	0.5717750647
368	0.5717074203
369	0.5715874764
370	0.5714820076
371	0.5713649447
372	0.5712100186
373	0.5711964108
374	0.5710847215
375	0.5709505855
376	0.5708256149
377	0.5707172206
378	0.5706591445
379	0.5705726967
380	0.5704888622
381	0.570358678
382	0.5702355691
383	0.5700894513
384	0.5699835642
385	0.5698700422
