iter	Passed	Remaining
0	28	18962
1	61	20580
2	95	21440
3	138	23314
4	172	23083
5	213	23808
6	265	25411
7	310	25947
8	350	26004
9	384	25584
10	415	25127
11	447	24748
12	488	24899
13	521	24650
14	556	24539
15	593	24489
16	630	24451
17	666	24359
18	702	24300
19	741	24332
20	774	24161
21	806	23969
22	838	23819
23	871	23674
24	904	23541
25	936	23420
26	970	23322
27	1005	23259
28	1046	23337
29	1087	23407
30	1119	23289
31	1151	23179
32	1183	23056
33	1215	22949
34	1258	23048
35	1289	22931
36	1320	22810
37	1351	22694
38	1382	22580
39	1416	22528
40	1459	22603
41	1492	22522
