match_id,date,map,map_number,team_A,team_B,winner,team_A_rank,team_B_rank,rank_diff,abs_rank_diff,picked_by_is_A,is_decider,map_winrate_A,map_winrate_B,recent_form_A,recent_form_B,winner_is_A,split_row,split_match,elo_diff,map_elo_diff,h2h_rate,h2h_games,momentum_diff,streak_A,streak_B,days_since_last_A,days_since_last_B,overall_winrate_A,overall_winrate_B,winrate_diff,opponent_strength_A,opponent_strength_B,map_games_A,map_games_B,map_experience_diff
84325,2025-03-25,Mirage,4,B8,Nemiga,B8,23,41,-18,18,1,0,0.5,0.5,0.5,0.5,1,train,train,0.0,0.0,0.5,0,0.0,0,0,30,30,0.5,0.5,0.0,1500.0,1500.0,0,0,0
76944,2025-03-25,Train,7,TYLOO,Rare Atom,TYLOO,9,36,-27,27,0,1,0.5,0.5,0.5,0.5,1,train,train,0.0,0.0,0.5,0,0.0,0,0,30,30,0.5,0.5,0.0,1500.0,1500.0,0,0,0
84325,2025-03-25,Inferno,7,B8,Nemiga,B8,23,41,-18,18,0,1,0.5,0.5,1.0,0.0,1,train,train,32.0,0.0,1.0,1,0.0,1,-1,0,0,1.0,0.0,1.0,1484.0,1516.0,0,0,0
84325,2025-03-25,Dust2,3,B8,Nemiga,Nemiga,23,41,-18,18,0,0,0.5,0.5,1.0,0.0,0,val,train,61.06099694204886,0.0,1.0,2,0.0,2,-2,0,0,1.0,0.0,1.0,1476.7347507644877,1523.2652492355123,0,0,0
84327,2025-03-26,Mirage,7,Spirit Academy,Aurora,Spirit Academy,51,6,45,45,0,1,0.5,0.5,0.5,0.5,1,train,train,0.0,0.0,0.5,0,0.0,0,0,30,30,0.5,0.5,0.0,1500.0,1500.0,0,0,0
84596,2025-03-26,Mirage,3,Nexus,Aurora,Aurora,51,6,45,45,0,0,0.5,0.0,0.5,0.0,0,train,val,16.0,20.0,0.5,0,0.5,0,-1,30,0,0.5,0.0,0.5,1500.0,1516.0,0,1,-1
84596,2025-03-26,Nuke,4,Nexus,Aurora,Nexus,51,6,45,45,1,0,0.5,0.5,0.0,0.5,1,val,val,-17.47261358704418,0.0,0.0,1,0.0,-1,1,0,0,0.0,0.5,-0.5,1500.736306793522,1499.631846603239,0,0,0
84596,2025-03-26,Inferno,7,Nexus,Aurora,Aurora,51,6,45,45,0,1,0.5,0.5,0.5,0.3333333333333333,0,test,val,16.13531828096029,0.0,0.5,2,0.0,1,-1,0,0,0.5,0.3333333333333333,0.16666666666666669,1492.334323826521,1499.777117448986,0,0,0
84327,2025-03-26,Train,3,Spirit Academy,Aurora,Aurora,51,6,45,45,0,0,0.5,0.5,1.0,0.5,0,train,train,15.325134018734843,0.0,1.0,1,0.0,1,1,0,0,1.0,0.5,0.5,1484.0,1495.6641215914233,0,0,0
84327,2025-03-26,Ancient,4,Spirit Academy,Aurora,Spirit Academy,51,6,45,45,1,0,0.5,0.5,0.5,0.6,1,train,train,-18.085448282350626,0.0,0.5,2,0.0,-1,2,0,0,0.5,0.6,-0.09999999999999998,1500.690078565904,1496.39023904303,0,0,0
82533,2025-03-28,Inferno,3,MOUZ,G2,MOUZ,4,15,-11,11,0,0,0.5,0.5,1.0,0.0,1,test,train,0.0,0.0,0.5,0,0.0,0,0,30,30,0.5,0.5,0.0,1500.0,1500.0,0,0,0
82532,2025-03-28,Anubis,4,Natus Vincere,Spirit,Spirit,7,1,6,6,1,0,0.5,0.5,0.0,1.0,0,train,val,0.0,0.0,0.5,0,0.0,0,0,30,30,0.5,0.5,0.0,1500.0,1500.0,0,0,0
82532,2025-03-28,Dust2,3,Natus Vincere,Spirit,Spirit,7,1,6,6,0,0,0.5,0.5,0.5,0.5,0,train,val,-32.0,0.0,0.0,1,0.0,-1,1,0,0,0.0,1.0,-1.0,1516.0,1484.0,0,0,0
84602,2025-03-28,Inferno,3,fnatic,Aurora,fnatic,21,6,15,15,0,0,0.5,1.0,0.0,0.625,1,train,test,-0.5480428976172789,-20.0,0.5,0,-0.5,0,-1,30,2,0.5,0.5,0.0,1500.0,1499.6796697164664,0,1,-1
84602,2025-03-28,Ancient,4,fnatic,Aurora,Aurora,21,6,15,15,1,0,0.5,0.0,0.0,0.5714285714285714,0,val,test,31.50243367677308,20.0,1.0,1,0.5,1,-2,0,0,1.0,0.42857142857142855,0.5714285714285714,1484.522804610422,1502.0147509408562,0,1,-1
84602,2025-03-28,Train,7,fnatic,Aurora,Aurora,21,6,15,15,0,1,0.5,1.0,0.5,0.5,0,test,test,-3.391122451421552,-20.0,0.5,2,-0.5,-1,1,0,0,0.5,0.5,0.0,1493.2461936424706,1501.5852146011364,0,1,-1
